suburb,sale_date,sale_price,address,bedrooms,bathrooms,car_spaces,property_type,area_m2,area_type,source_url
Parramatta,2026-08-07,1025000,1312/12 Phillip St,3,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-03,432000,412/31-37 Hassall St,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-31,805000,1/6 Sorrell St,3,2,2.0,Apartment,157.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-30,626000,16/18-20 Thomas St,2,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-30,580000,4/13 Henry St,2,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-11,657000,3/11 O'Reilly St,2,2,1.0,Unit,145.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-04,588000,2/15-19 Early St,2,1,1.0,Apartment,150.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-28,1085000,4335/180 George St,3,2,,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-28,760000,4339/180 George St,2,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-07,435000,5/13 Queens Ave,1,1,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-25,500000,28/24 Campbell St,2,2,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-25,740000,1330K/2 Morton St,2,2,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-25,650000,15/11 Elizabeth St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-24,530000,201/1 Broughton St,1,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-22,615000,10/15-17 Queens Ave,2,1,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-22,532000,12/128-138 Macquarie St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-08-04,680000,404/23 Hassall St,2,2,1.0,Apartment,124.0,Floor,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-21,665000,42/21 Sorrell St,3,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-19,425000,20/4 Peace Lane,2,1,1.0,Apartment,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-19,515000,5/12 Early St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-18,580000,35/26-30 Hassall St,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Parramatta,2026-07-17,760000,208B/8 Cowper St,3,2,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/parramatta-2150
Liverpool,2026-08-28,730000,35/12-20 Lachlan St,3,2,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-27,423000,9/53 Goulburn St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-24,660000,8/9-11 Bathurst St,3,1,2.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-24,385000,2/30 Speed St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-24,875000,4/44-46 Passefield St,3,2,1.0,Townhouse,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-21,430000,10/50 Castlereagh St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-19,431000,40/387 Macquarie St,1,1,0.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-17,408000,13/58-60 Copeland St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-14,600000,608/311 Hume Hwy,2,2,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
Liverpool,2026-08-13,450000,20/8 Beale St,2,1,1.0,Unit,,,https://www.onthehouse.com.au/sold/nsw/liverpool-2170
