Model,CV_MAE,CV_RMSE,CV_R2,Train_CV_MAE,Holdout_MAE,Holdout_RMSE,Holdout_R2
Gradient Boosting,158852.80845255454,303275.83320659155,0.7782283027632879,103444.61879593052,80221.18593458425,124466.15793736096,0.9543051017574973
Linear Regression,175870.66737536766,293168.65262708045,0.781008898091813,119238.5332939827,96354.0551603155,155877.7216059893,0.9283306863389599
Random Forest,201437.7340315354,349276.6526319278,0.6956333286767626,125377.63484488544,77832.234012758,117962.02074775806,0.9589560117920041
